0.999	10.182764613034	5	12	-2.0308363713787e-7	6.3896937673318e-6	119.232	0.	0.
0.999	10.404996667311	5	12	-1.8148621780405e-7	5.8874802930388e-6	118.23	0.	0.015384615384615385
0.999	10.635561751008	5	12	-1.6187525500287e-7	5.4173823065869e-6	118.122	0.	0.03076923076923077
0.999	10.874881749548	5	12	-1.441007554921e-7	4.9779029063033e-6	117.943	0.	0.046153846153846156
0.999	11.123405589321	5	12	-1.2802100817242e-7	4.5675794049725e-6	117.643	0.	0.06153846153846154
0.999	11.381611344501	5	12	-1.1350237319501e-7	4.1849844890598e-6	117.516	0.	0.07692307692307693
0.999	11.650008537895	5	12	-1.0041905837482e-7	3.8287272740459e-6	117.197	0.	0.09230769230769231
0.999	11.929140656503	5	11	-8.8652884248248e-8	3.4974542499827e-6	102.488	0.	0.1076923076923077
0.999	12.219587905002	5	11	-7.8093039132268e-8	3.1898501426967e-6	102.34	0.	0.12307692307692308
0.999	12.521970223221	5	11	-6.8635825550792e-8	2.9046386198413e-6	102.326	0.	0.13846153846153847
0.999	12.836950596936	5	11	-6.0184399395105e-8	2.6405829394358e-6	102.29	0.	0.15384615384615385
0.999	13.165238695034	5	11	-5.2648503177364e-8	2.3964864631817e-6	102.156	0.	0.16923076923076924
0.999	13.507594870326	5	11	-4.5944194720117e-8	2.1711930678222e-6	102.134	0.	0.18461538461538463
0.999	13.86483456618	5	11	-3.9993572600758e-8	1.9635874494464e-6	102.158	0.	0.2
0.999	14.237833176693	5	11	-3.4724499637905e-8	1.7725953218846e-6	102.049	0.	0.2153846153846154
0.999	14.627531414555	5	11	-3.0070325667573e-8	1.5971835107289e-6	99.351	0.	0.23076923076923078
0.999	15.034941248132	5	10	-2.5969610810431e-8	1.4363599433251e-6	88	0.	0.24615384615384617
0.999	15.461152477804	5	10	-2.2365850379339e-8	1.2891735469616e-6	87.962	0.	0.26153846153846155
0.999	15.907340031452	4	10	-1.9207202515616e-8	1.1547140317545e-6	86.947	0.	0.27692307692307694
0.999	16.3747720704	4	10	-1.6446219589829e-8	1.0321115981008e-6	85.906	0.	0.2923076923076923
0.999	16.864819010349	4	10	-1.4039584299642e-8	9.205365426886e-7	83.131	0.	0.3076923076923077
0.999	17.378963577302	4	10	-1.1947851385341e-8	8.191987792403e-7	83.055	0.	0.3230769230769231
0.999	17.918812036405	4	10	-1.0135195743178e-8	7.2734727569364e-7	83.042	0.	0.3384615384615385
0.999	18.486106752751	4	10	-8.5691676793486e-9	6.4426941204424e-7	82.812	0.	0.35384615384615387
0.999	19.082740267784	4	10	-7.2204559521957e-9	5.6929026332196e-7	82.878	0.	0.36923076923076925
0.999	19.710771103982	4	10	-6.0626591709052e-9	5.0177181240246e-7	79.872	0.	0.38461538461538464
